fold,rmse,mse,mae
1,13660.893675012627,186620016.0,13161.5654296875
2,23551.512223209786,554673728.0,22089.107421875
3,32935.35583533295,1084737664.0,31055.296875
4,40519.91865737146,1641863808.0,35983.859375
5,18663.009832285894,348307936.0,15067.4169921875
